,Group,Name,Calories,Water,Protein,Carbohydrates,Fat,Sugar,Sucrose,Glucose,Fructose,Lactose,Maletose,Starch,Fiber,Polyols,Ash,Alcohol,Organic_Acids,Saturated_Fat,Fat_Mono.,Fat_Poly.,DHA,Cholesterol,Salt,Calcium,Choline,Cupper,Iron,Iodine,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Sodium,Zinc,Retinol,Alpha_Carotene,Beta_Carotene,Caffeine,Theobromine,Galactose,Fluoride,Beta_Cryptoxanthin,Lycopene,Lutein&Zeaxathin,Vitamin A,Vitamin_B1,Vitamin_B2,Vitamin_B3,Vitamin_B5,Vitamin_B6,Vitamin_B9,Vitamin_B12,Vitamin_C,Vitamin_D2,Vitamin_D3,Vitamin_D,Vitamin_E,Vitamin_K1,Vitamin_K2
776,breads and pastries,Wheat tortilla wrap. to be filled,327.0,26.0,8.34,52.1,8.2,1.55,0.0,0.0,0.0,0.0,0.0,50.6,3.85,0.0,1.92,0.0,0.0,3.85,2.67,1.32,0.01,0.79,1.25,45.0,219.0,0.1,0.76,20.0,19.0,0.4,360.0,150.0,20.0,650.0,0.57,21.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.01,0.17,0.35,0.027,39.4,0.0,0.0,0.0,0.0,0.0,0.08,4.78,0.0
777,breads and pastries,Blinis,260.0,45.9,5.98,32.7,11.2,3.14,0.0,0.0,0.0,0.0,0.0,29.3,2.35,0.0,1.81,0.0,0.0,3.19,3.31,1.05,0.01,24.7,1.32,38.9,762.0,0.1,0.6,30.0,14.2,0.3,116.0,137.0,5.0,521.0,0.45,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.12,0.73,0.35,0.07,33.0,0.28,0.0,0.0,0.0,0.5,2.4,0.0,0.0
778,breads and pastries,Toasted bread. home-made,338.0,13.2,9.56,69.4,1.16,3.1,0.0,0.0,0.0,0.0,0.0,63.3,4.2,0.0,2.57,0.0,0.0,0.57,0.24,0.0,0.0,0.0,2.12,78.3,1.9,0.11,1.16,5.0,29.1,0.62,122.0,222.0,10.0,848.0,0.63,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.058,1.68,0.25,0.14,42.1,0.0,0.5,0.0,0.0,0.5,0.28,0.0,0.0
779,breads and pastries,Rusk,417.0,0.3,9.24,77.1,6.53,6.55,0.0,0.0,0.0,0.0,0.0,66.2,4.86,0.0,1.97,0.0,0.0,2.85,1.05,0.47,0.005,0.0,1.5,23.4,0.0,0.14,1.37,9.13,43.2,0.67,153.0,250.0,10.0,589.0,0.79,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.12,3.05,0.0,0.23,128.0,0.0,0.0,0.0,0.0,0.35,0.77,0.0,0.0
780,breads and pastries,Rusk. w eggs,417.0,0.0,10.9,69.0,9.28,9.01,0.0,0.0,0.0,0.0,0.0,59.4,4.85,0.0,0.99,0.0,0.0,6.17,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
781,breads and pastries,Rusk. unsalted,402.0,4.5,10.4,73.3,5.88,5.67,0.0,0.0,0.0,0.0,0.0,67.5,5.16,0.0,0.8,0.0,0.0,2.63,2.24,0.96,0.01,0.02,0.046,23.5,0.0,0.18,1.3,6.3,22.5,0.7,121.0,161.0,3.35,18.1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.22,8.5,0.0,0.94,94.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0
782,breads and pastries,Rusk. multigrain,398.0,5.1,11.8,66.7,7.22,5.4,0.0,0.0,0.0,0.0,0.0,61.3,7.08,0.0,2.11,0.0,0.0,2.51,2.34,2.0,0.01,0.0,1.51,39.5,947.0,1.0,2.3,10.0,57.0,1.1,233.0,233.0,5.0,597.0,1.5,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.12,1.6,0.58,0.16,29.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0
783,breads and pastries,Rusk. wholemeal or rich in fibre,393.0,4.2,11.7,67.0,6.17,4.32,0.0,0.0,0.0,0.0,0.0,60.8,8.84,0.0,2.1,0.0,0.0,2.61,1.17,0.67,0.01,0.01,1.25,40.6,813.0,1.0,3.1,10.0,115.0,2.0,260.0,350.0,5.0,492.0,1.9,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.13,1.9,0.74,0.14,26.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0
784,breads and pastries,Wheat crackers,450.0,0.0,7.75,75.0,12.0,0.4,0.0,0.0,0.0,0.0,0.0,70.8,4.1,0.0,1.5,0.0,0.0,4.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
785,breads and pastries,Puffed rice textured bread. wholemeal,385.0,4.8,7.32,80.5,3.0,0.73,0.0,0.0,0.0,0.0,0.0,71.7,2.9,0.0,1.5,0.0,0.0,0.54,1.17,1.17,0.01,0.0,0.18,12.0,159.0,0.23,1.1,20.0,160.0,2.8,410.0,300.0,20.0,72.6,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.02,1.26,0.74,0.18,41.5,0.0,0.0,0.0,0.0,0.0,1.01,0.8,0.0
