,Group,Name,Calories,Water,Protein,Carbohydrates,Fat,Sugar,Sucrose,Glucose,Fructose,Lactose,Maletose,Starch,Fiber,Polyols,Ash,Alcohol,Organic_Acids,Saturated_Fat,Fat_Mono.,Fat_Poly.,DHA,Cholesterol,Salt,Calcium,Choline,Cupper,Iron,Iodine,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Sodium,Zinc,Retinol,Alpha_Carotene,Beta_Carotene,Caffeine,Theobromine,Galactose,Fluoride,Beta_Cryptoxanthin,Lycopene,Lutein&Zeaxathin,Vitamin A,Vitamin_B1,Vitamin_B2,Vitamin_B3,Vitamin_B5,Vitamin_B6,Vitamin_B9,Vitamin_B12,Vitamin_C,Vitamin_D2,Vitamin_D3,Vitamin_D,Vitamin_E,Vitamin_K1,Vitamin_K2
1097,cooked meat,pork ham escalope cooked,200.0,0.0,36.0,0.01,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,0.0,0.0,1.85,2.44,0.53,0.0,99.6,0.19,6.77,0.0,0.0,0.87,0.0,35.4,0.0,313.0,512.0,13.2,76.5,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.25,9.65,0.0,0.34,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1106,cooked meat,lamb cutlet grilled,240.0,58.0,25.7,0.01,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.0,6.52,4.19,0.51,0.013999999999999999,48.9,0.31,19.7,0.0,0.077,0.0,5.0,20.1,0.0079,184.0,0.0,9.97,0.0,3.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.45,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1107,cooked meat,lamb leg roasted/baked,169.0,65.9,26.8,0.0,6.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0,2.63,2.54,0.63,0.009000000000000001,97.6,0.19,21.8,61.0,0.12,1.4,5.0,30.7,0.015,183.0,301.0,10.3,75.5,4.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.28,6.52,0.83,0.24,17.0,1.88,0.0,0.0,0.0,0.0,0.13,0.0,0.0
1108,cooked meat,lamb shoulder roasted/baked,252.0,53.7,30.5,0.1,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.0,5.26,4.69,1.26,0.0,99.8,0.24,8.8,61.0,0.2,2.2,8.6,25.4,0.1,231.0,376.0,5.0,95.5,4.7,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064,0.3,7.2,0.3,0.21,24.2,2.72,6.9,0.0,0.0,0.5,0.14,4.6,0.0
1109,cooked meat,lamb neck braised or boiled,365.0,40.6,33.6,0.01,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,13.9,0.0,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,4.26,0.69,0.095,0.0,2.06,0.0,0.0,0.0,0.0,0.36,0.0,0.0
1110,cooked meat,lamb  chop fillet  grilled/pan fried,157.0,67.7,26.3,0.01,5.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,2.05,0.54,0.0057,86.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0,0.0,10.1,0.0,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,6.72,0.62,0.3,0.0,1.22,0.0,0.0,0.0,0.0,0.16,0.0,0.0
1111,cooked meat,lamb  rib chop  grilled/pan fried,185.0,64.1,26.1,0.0,9.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,3.67,3.37,0.7,0.004,90.0,0.18,22.0,0.0,0.12,1.27,0.0,20.0,0.019,166.0,271.0,9.36,73.0,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.21,6.64,0.7,0.28,15.0,1.38,0.0,0.0,0.0,0.0,0.1,0.0,0.0
1112,cooked meat,lamb saddle lean roasted/baked,153.0,68.3,26.1,0.0,5.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.0,0.0,2.01,1.92,0.53,0.008,91.0,0.16,18.0,0.0,0.12,1.21,0.0,23.0,0.02,180.0,246.0,10.3,64.0,3.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.24,6.67,0.83,0.27,19.0,1.53,0.0,0.0,0.0,0.1,0.11,4.7,0.0
1113,cooked meat,lamb  leg  grilled/pan fried,174.0,64.8,27.6,0.01,7.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63,2.54,0.63,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.0,10.7,0.0,4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.52,0.0,0.23,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1114,cooked meat,lamb leg braised,222.0,55.2,35.2,0.01,9.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46,3.34,0.83,0.012,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,13.6,0.0,5.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.52,0.0,0.16,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1115,cooked meat,lamb chop cooked (avergae),157.0,67.7,26.3,0.0,5.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,2.05,0.54,0.0057,86.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0,0.0,10.1,0.0,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,6.72,0.62,0.3,0.0,1.22,0.0,0.0,0.0,0.0,0.16,0.0,0.0
1116,cooked meat,lamb meat cooked (average),209.0,60.4,28.3,0.012,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,3.55,0.88,0.0062,0.0,0.0,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0.0,7.87,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.41,0.0,0.2,0.0,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,cooked meat,lamb chop grilled (average),157.0,67.7,26.3,0.0,5.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,2.05,0.54,0.0057,86.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0,0.0,10.1,0.0,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,6.72,0.62,0.3,0.0,1.22,0.0,0.0,0.0,0.0,0.16,0.0,0.0
1119,cooked meat,wild boar roasted/baked,153.0,63.9,28.3,0.0,4.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0,1.3,1.71,0.64,0.0,77.0,0.15,16.0,0.0,0.055999999999999994,1.12,0.0,27.0,0.0,134.0,396.0,0.0,60.0,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.14,4.21,0.0,0.42,6.0,0.7,0.0,0.0,0.0,0.0,0.38,1.4,0.0
1122,cooked meat,feathered game meat cooked (average),218.0,61.6,25.1,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.0,0.0,3.25,3.42,0.0,0.0,109.0,0.73,6.79,0.0,0.45,4.2,10.2,31.4,0.043,246.0,369.0,24.4,291.0,2.11,23.4,0.0,8.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.67,11.8,2.58,0.82,9.47,2.78,2.08,0.0,0.0,0.55,0.54,0.0,0.0
1123,cooked meat,horse meat roasted/baked,138.0,68.6,28.0,0.0,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69,0.0,0.0,2.41,0.12,0.078,0.00037999999999999997,83.6,0.1,4.8,0.0,0.16,3.4,4.0,28.1,0.1,214.0,333.0,5.0,39.8,3.1,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.36,9.5,0.45,0.7,20.0,4.05,1.0,0.0,0.0,0.5,1.15,0.0,0.0
1124,cooked meat,horse  topside  grilled/pan fried,135.0,68.7,27.9,0.01,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.68,0.54,0.0,0.0,0.0,0.0,0.0,0.0,3.99,0.0,0.0,0.0,0.0,0.0,7.47,0.0,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28,0.0,0.69,0.0,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1125,cooked meat,horse  rib steak  grilled/pan fried,169.0,64.4,28.2,0.01,6.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,2.03,1.01,0.0,0.0,0.0,0.0,0.0,0.0,3.38,0.0,0.0,0.0,0.0,0.0,7.92,0.0,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.55,0.0,0.66,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1126,cooked meat,horse sirloin steak roasted/baked,173.0,63.2,28.3,0.01,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23,2.41,1.03,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,8.03,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.22,0.0,0.69,0.0,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
