,Group,Name,Calories,Water,Protein,Carbohydrates,Fat,Sugar,Sucrose,Glucose,Fructose,Lactose,Maletose,Starch,Fiber,Polyols,Ash,Alcohol,Organic_Acids,Saturated_Fat,Fat_Mono.,Fat_Poly.,DHA,Cholesterol,Salt,Calcium,Choline,Cupper,Iron,Iodine,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Sodium,Zinc,Retinol,Alpha_Carotene,Beta_Carotene,Caffeine,Theobromine,Galactose,Fluoride,Beta_Cryptoxanthin,Lycopene,Lutein&Zeaxathin,Vitamin A,Vitamin_B1,Vitamin_B2,Vitamin_B3,Vitamin_B5,Vitamin_B6,Vitamin_B9,Vitamin_B12,Vitamin_C,Vitamin_D2,Vitamin_D3,Vitamin_D,Vitamin_E,Vitamin_K1,Vitamin_K2,ME_CLASSIFIED
481,biscuits and breakfast cereals,biscuit sponge cake with fruits covering  pre packed,359.0,12.8,4.54,77.1,3.24,54.2,0.0,0.0,0.0,0.0,0.0,21.5,1.48,0.0,0.84,0.0,0.0,0.78,1.3,1.01,0.0045,64.3,0.28,51.3,0.0,0.17,1.65,5.0,49.1,0.58,65.8,395.0,10.0,111.0,0.61,14.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044000000000000004,0.077,0.26,0.5,0.077,26.0,0.22,1.0,0.0,0.0,0.5,0.9,0.0,0.0,BAD
482,biscuits and breakfast cereals,soft cake filled with fruit paste or fruit puree and sugar icing coated,354.0,13.3,4.25,79.3,1.92,52.9,0.0,0.0,0.0,0.0,0.0,25.9,1.0,0.0,0.24,0.0,0.0,0.86,0.55,0.33,0.0,18.4,0.015,0.0,0.0,0.11,0.7,11.0,10.1,0.25,55.0,81.0,5.0,5.9,0.4,2.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.051,0.59,0.28,0.52,26.0,0.08,1.0,0.0,0.0,0.5,0.7,0.0,0.0,BAD
483,biscuits and breakfast cereals,biscuit (cookie) with chocolate drops,502.0,3.46,6.47,59.0,25.9,31.5,0.0,0.0,0.0,0.0,0.0,27.5,3.38,0.0,1.77,0.0,0.0,12.9,9.59,2.33,0.005,17.3,1.01,30.5,0.0,0.44,3.43,11.0,70.2,0.75,153.0,270.0,5.0,403.0,1.2,30.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.24,1.05,0.43,0.09,38.0,0.08,1.0,0.0,0.0,0.5,2.6,0.0,0.0,BAD
484,biscuits and breakfast cereals,dried sponge cake filled with fruits and covered with chocolate,391.0,13.8,3.23,69.5,10.6,51.7,0.0,0.0,0.0,0.0,0.0,11.4,2.16,0.0,0.75,0.0,0.0,6.11,2.87,0.65,0.0056,34.8,0.17,0.0,0.0,0.28,1.9,12.0,37.0,0.36,96.3,159.0,5.0,70.0,0.9,7.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.091,0.28,0.3,0.17,27.0,0.13,1.0,0.0,0.0,0.5,0.75,0.0,0.0,BAD
485,biscuits and breakfast cereals,biscuit (cookie) reduced sugar,448.0,0.0,20.8,43.8,18.5,19.3,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.86,0.0,0.0,8.75,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAD
486,biscuits and breakfast cereals,puffed salty snacks made from maize/corn without peanuts,489.0,1.81,6.96,62.1,23.0,2.79,0.0,0.0,0.0,0.0,0.0,57.1,3.1,0.0,3.05,0.0,0.0,9.66,7.52,3.64,0.0021,5.6,2.48,55.4,0.0,0.2,1.2,11.0,38.5,0.42,95.8,371.0,7.0,990.0,0.5,2.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.14,3.4,0.62,0.26,42.0,0.15,0.0,0.0,0.0,0.5,3.7,0.0,0.0,GOOD
487,biscuits and breakfast cereals,salty snacks crackers garnished or filled with cheese,535.0,2.1,13.8,46.0,32.2,5.33,0.0,0.0,0.0,0.0,0.0,40.6,3.37,0.0,2.64,0.0,0.0,19.9,7.71,2.67,0.0049,0.0,1.89,236.0,0.0,0.0,3.3,8.0,26.5,0.0,0.0,148.0,0.0,755.0,1.4,40.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.62,100.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,BAD
488,biscuits and breakfast cereals,coated peanuts,518.0,0.0,15.8,45.4,29.7,4.51,0.0,0.0,0.0,0.0,0.0,39.3,3.18,0.0,2.82,0.0,0.0,7.8,0.0,0.0,0.0,0.0,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GOOD
489,biscuits and breakfast cereals,salted crispy crepe with cheese prepacked,555.0,0.0,9.3,48.8,35.6,14.2,0.0,0.0,0.0,0.0,0.0,33.7,1.25,0.0,1.73,0.0,0.0,23.3,0.0,0.0,0.0,33.6,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAD
490,cakes,cake (average),410.0,20.2,5.53,52.6,19.2,33.4,0.0,0.0,0.0,0.0,0.0,16.4,1.91,0.0,1.12,0.17,0.00088,6.07,7.68,3.2,0.0028,98.8,0.65,76.4,0.0,0.13,1.4,11.4,24.2,0.24,149.0,182.0,4.37,259.0,0.54,99.8,0.0,58.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.14,0.53,0.46,0.078,46.0,0.36,0.49,0.0,0.0,0.33,2.89,0.0,0.0,BAD
491,cakes,sponge cake w chocolate w or wo cherry,334.0,38.3,4.13,35.4,19.0,29.5,0.0,0.0,0.0,0.0,0.0,4.5,2.2,0.0,0.83,0.0,0.19,12.4,4.84,0.58,0.01,61.7,0.17,53.0,71.0,0.24,2.7,20.0,32.0,0.3,98.0,190.0,20.0,69.0,0.59,83.7,0.0,55.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026000000000000002,0.075,0.1,0.33,0.013000000000000001,48.2,0.23,0.5,0.0,0.0,0.25,0.69,3.13,0.0,BAD
492,cakes,sponge cake w fruit mousse,245.0,53.3,3.87,29.7,12.2,23.6,0.0,0.0,0.0,0.0,0.0,6.11,1.0,0.0,0.49,0.0,0.0,6.51,3.4,0.0,0.0,87.0,0.11,42.3,70.0,0.1,0.8,3.0,10.5,0.2,57.0,97.0,0.0,44.5,0.4,103.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.15,0.24,0.36,0.045,26.3,0.2,3.1,0.0,0.0,0.5,0.7,0.0,0.0,BAD
493,cakes,dessert opera cake type,400.0,30.1,5.19,39.6,24.0,35.1,0.0,0.0,0.0,0.0,0.0,4.5,2.3,0.0,0.81,0.0,0.0,13.4,7.19,2.31,0.01,80.2,0.11,42.0,65.6,0.29,3.2,20.0,44.0,0.37,110.0,240.0,20.0,42.0,0.76,91.5,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.099,0.2,0.37,0.19,7.09,0.21,0.5,0.0,0.0,0.25,1.21,2.22,0.0,BAD
494,cakes,sponge sandwich cake filled and topped with strawberries or raspberries,262.0,52.6,3.31,26.7,15.5,23.3,0.0,0.0,0.0,0.0,0.0,3.3,1.3,0.0,0.59,0.0,0.0,8.3,3.94,0.83,0.0,61.0,0.15,57.1,54.9,1.0,1.0,10.0,16.9,1.0,76.0,105.0,15.1,61.7,1.0,89.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.47,0.05,0.32,0.05,78.1,0.45,4.3,0.0,0.0,0.2,1.3,0.0,0.0,BAD
495,cakes,canelé cake,297.0,26.3,5.31,59.4,3.7,37.6,0.0,0.0,0.0,0.0,0.0,20.2,2.6,0.0,0.74,0.01,0.0,2.11,0.98,0.4,0.0,14.8,0.19,56.9,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAD
496,cakes,christmas log cake,320.0,43.4,4.2,30.6,19.7,23.7,0.0,0.0,0.0,0.0,0.0,2.7,1.3,0.0,0.71,0.1,0.0,0.0,0.0,0.0,0.0,89.0,0.18,58.3,90.0,1.0,1.6,10.0,22.7,1.0,94.0,157.0,3.0,72.8,1.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.47,0.3,0.05,67.0,0.4,1.1,0.0,0.0,0.0,1.5,0.0,0.0,BAD
497,cakes,brownie (chocolate cake),467.0,13.0,6.22,50.0,26.2,35.0,0.0,0.0,0.0,0.0,0.0,7.5,3.33,0.0,1.25,0.0,0.0,8.21,10.3,3.39,0.005,16.5,0.56,60.3,0.0,0.33,2.2,12.0,39.3,0.32,124.0,144.0,2.2,226.0,0.79,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.21,1.35,0.55,0.038,9.5,0.17,5.3,0.0,0.0,0.2,0.15,6.5,0.0,BAD
498,cakes,rock shaped coconut cake,464.0,13.1,4.46,53.7,24.1,47.5,0.0,0.0,0.0,0.0,0.0,0.0,7.08,0.0,0.52,0.0,0.0,21.2,0.89,0.16,0.0,0.0,0.1,18.8,0.0,0.0,1.0,0.0,49.1,0.0,0.0,345.0,0.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAD
499,cakes,savoy style sponge cake,260.0,33.2,5.9,56.3,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,2.44,0.0,0.0,0.12,0.071,0.37,0.0,0.0,1.87,140.0,0.0,0.064,0.52,25.0,12.0,0.29,324.0,93.0,0.0,749.0,0.41,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.49,0.88,0.2,0.031,3.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAD
